"","X","id","time","MAX_DEP"
"1",8377,35,2015-09-22 10:58:00,1.79175946922805
"2",8378,35,2015-09-22 11:04:00,1.79175946922805
"3",8379,35,2015-09-22 11:09:00,1.79175946922805
"4",8380,35,2015-09-22 14:05:00,1.79175946922805
"5",8381,35,2015-09-22 14:10:00,1.79175946922805
"6",8382,35,2015-09-22 14:13:00,1.38629436111989
"7",8383,35,2015-09-22 18:00:00,2.07944154167984
"8",8384,35,2015-09-22 18:06:00,2.07944154167984
"9",8385,35,2015-09-22 18:12:00,2.07944154167984
"10",8386,35,2015-09-22 18:16:00,2.07944154167984
"11",8387,35,2015-09-22 18:21:00,2.07944154167984
"12",8388,35,2015-09-22 18:27:00,2.07944154167984
"13",8389,35,2015-09-22 19:04:00,2.30258509299405
"14",8390,35,2015-09-22 19:10:00,2.30258509299405
"15",8391,35,2015-09-22 19:17:00,2.30258509299405
"16",8392,35,2015-09-22 20:16:00,2.63905732961526
"17",8393,35,2015-09-22 20:22:00,2.63905732961526
"18",8394,35,2015-09-22 20:28:00,2.63905732961526
"19",8395,35,2015-09-22 21:05:00,2.77258872223978
"20",8396,35,2015-09-22 21:10:00,2.07944154167984
"21",8397,35,2015-09-22 21:16:00,1.79175946922805
"22",8398,35,2015-09-22 21:21:00,1.38629436111989
"23",8400,35,2015-09-22 21:31:00,2.89037175789616
"24",8401,35,2015-09-22 21:55:00,2.99573227355399
"25",8402,35,2015-09-22 22:02:00,3.09104245335832
"26",8403,35,2015-09-22 22:08:00,3.09104245335832
"27",8404,35,2015-09-22 22:14:00,3.09104245335832
"28",8405,35,2015-09-22 22:20:00,3.17805383034795
"29",8406,35,2015-09-22 22:26:00,3.17805383034795
"30",8407,35,2015-09-22 22:32:00,3.25809653802148
"31",8408,35,2015-09-22 22:37:00,3.25809653802148
"32",8409,35,2015-09-22 22:42:00,3.25809653802148
"33",8410,35,2015-09-23 00:03:00,3.3322045101752
"34",8411,35,2015-09-23 00:08:00,3.3322045101752
"35",8412,35,2015-09-23 00:14:00,3.3322045101752
"36",8413,35,2015-09-23 00:32:00,3.40119738166216
"37",8414,35,2015-09-23 00:36:00,1.38629436111989
"38",8415,35,2015-09-23 00:40:00,1.38629436111989
"39",8416,35,2015-09-23 01:53:00,1.79175946922805
"40",8417,35,2015-09-23 01:58:00,1.79175946922805
"41",8419,35,2015-09-23 02:30:00,3.09104245335832
"42",8420,35,2015-09-23 02:34:00,3.25809653802148
"43",8421,35,2015-09-23 02:40:00,3.40119738166216
"44",8422,35,2015-09-23 03:18:00,1.79175946922805
"45",8423,35,2015-09-23 03:23:00,3.49650756146648
"46",8424,35,2015-09-23 03:29:00,1.38629436111989
"47",8425,35,2015-09-23 03:50:00,1.38629436111989
"48",8426,35,2015-09-23 03:55:00,1.79175946922805
"49",8427,35,2015-09-23 04:02:00,1.79175946922805
"50",8428,35,2015-09-23 04:07:00,1.38629436111989
"51",8431,35,2015-09-23 04:30:00,1.38629436111989
"52",8432,35,2015-09-23 04:35:00,3.49650756146648
"53",8433,35,2015-09-23 04:40:00,1.38629436111989
"54",8435,35,2015-09-23 06:46:00,1.38629436111989
"55",8437,35,2015-09-23 06:52:00,1.38629436111989
"56",8438,35,2015-09-23 06:58:00,1.38629436111989
"57",8439,35,2015-09-23 07:04:00,1.79175946922805
"58",8440,35,2015-09-23 07:11:00,1.38629436111989
"59",8441,35,2015-09-23 07:17:00,1.38629436111989
"60",8442,35,2015-09-23 07:23:00,3.49650756146648
"61",8443,35,2015-09-23 09:12:00,3.61091791264422
"62",8444,35,2015-09-23 09:18:00,3.61091791264422
"63",8445,35,2015-09-23 09:24:00,3.61091791264422
"64",8446,35,2015-09-23 10:04:00,1.38629436111989
"65",8447,35,2015-09-23 10:08:00,3.49650756146648
"66",8448,35,2015-09-23 10:14:00,3.49650756146648
"67",8449,35,2015-09-23 10:39:00,3.49650756146648
"68",8450,35,2015-09-23 10:46:00,3.49650756146648
"69",8451,35,2015-09-23 10:52:00,3.49650756146648
"70",8452,35,2015-09-23 10:58:00,3.49650756146648
"71",8453,35,2015-09-23 11:04:00,3.49650756146648
"72",8454,35,2015-09-23 11:11:00,3.49650756146648
"73",8455,35,2015-09-23 12:52:00,3.49650756146648
"74",8456,35,2015-09-23 12:59:00,3.49650756146648
"75",8457,35,2015-09-23 13:05:00,3.49650756146648
"76",8458,35,2015-09-23 13:12:00,3.49650756146648
"77",8459,35,2015-09-23 13:18:00,3.49650756146648
"78",8460,35,2015-09-23 13:25:00,3.49650756146648
"79",8461,35,2015-09-23 13:52:00,3.49650756146648
"80",8462,35,2015-09-23 13:58:00,3.49650756146648
"81",8463,35,2015-09-23 14:05:00,3.49650756146648
"82",8464,35,2015-09-23 14:11:00,3.49650756146648
"83",8465,35,2015-09-23 14:17:00,3.40119738166216
"84",8466,35,2015-09-23 14:23:00,1.79175946922805
"85",8467,35,2015-09-23 15:42:00,3.40119738166216
"86",8468,35,2015-09-23 15:49:00,3.40119738166216
"87",8469,35,2015-09-23 15:56:00,3.40119738166216
"88",8470,35,2015-09-23 16:23:00,3.40119738166216
"89",8471,35,2015-09-23 16:30:00,3.40119738166216
"90",8472,35,2015-09-23 16:36:00,3.3322045101752
"91",8473,35,2015-09-23 16:59:00,3.3322045101752
"92",8474,35,2015-09-23 17:05:00,3.3322045101752
"93",8475,35,2015-09-23 17:11:00,3.3322045101752
"94",8476,35,2015-09-23 17:18:00,3.3322045101752
"95",8477,35,2015-09-23 17:24:00,3.3322045101752
"96",8478,35,2015-09-23 17:30:00,3.3322045101752
"97",8479,35,2015-09-23 17:36:00,3.25809653802148
"98",8480,35,2015-09-23 17:42:00,3.25809653802148
"99",8481,35,2015-09-23 17:49:00,3.25809653802148
"100",8482,35,2015-09-23 18:32:00,3.25809653802148
"101",8483,35,2015-09-23 18:38:00,3.25809653802148
"102",8484,35,2015-09-23 18:44:00,3.25809653802148
"103",8485,35,2015-09-23 18:50:00,3.25809653802148
"104",8486,35,2015-09-23 18:56:00,3.25809653802148
"105",8487,35,2015-09-23 19:03:00,3.25809653802148
"106",8488,35,2015-09-23 19:09:00,3.17805383034795
"107",8489,35,2015-09-23 19:15:00,3.17805383034795
"108",8490,35,2015-09-23 19:21:00,3.17805383034795
"109",8491,35,2015-09-23 20:01:00,3.17805383034795
"110",8492,35,2015-09-23 20:07:00,3.09104245335832
"111",8493,35,2015-09-23 20:13:00,3.09104245335832
"112",8494,35,2015-09-23 20:19:00,3.09104245335832
"113",8495,35,2015-09-23 20:25:00,3.09104245335832
"114",8496,35,2015-09-23 20:31:00,3.09104245335832
"115",8497,35,2015-09-23 21:11:00,3.09104245335832
"116",8498,35,2015-09-23 21:17:00,2.99573227355399
"117",8499,35,2015-09-23 21:23:00,2.99573227355399
"118",8500,35,2015-09-23 21:47:00,2.99573227355399
"119",8501,35,2015-09-23 21:53:00,2.99573227355399
"120",8502,35,2015-09-23 22:00:00,2.99573227355399
"121",8503,35,2015-09-23 22:59:00,2.99573227355399
"122",8504,35,2015-09-23 23:05:00,2.99573227355399
"123",8505,35,2015-09-23 23:10:00,2.99573227355399
"124",8506,35,2015-09-23 23:16:00,2.99573227355399
"125",8507,35,2015-09-23 23:22:00,2.99573227355399
"126",8508,35,2015-09-23 23:28:00,2.99573227355399
"127",8509,35,2015-09-24 03:45:00,2.89037175789616
"128",8510,35,2015-09-24 03:49:00,2.89037175789616
"129",8511,35,2015-09-24 03:55:00,2.89037175789616
"130",8512,35,2015-09-24 05:19:00,2.89037175789616
"131",8513,35,2015-09-24 05:24:00,2.89037175789616
"132",8514,35,2015-09-24 05:29:00,2.89037175789616
"133",8516,35,2015-09-24 05:49:00,2.89037175789616
"134",8517,35,2015-09-24 05:52:00,2.89037175789616
"135",8518,35,2015-09-24 10:12:00,2.89037175789616
"136",8519,35,2015-09-24 10:18:00,2.89037175789616
"137",8520,35,2015-09-24 10:22:00,1.79175946922805
"138",8521,35,2015-09-24 10:25:00,1.79175946922805
"139",8522,35,2015-09-24 10:29:00,2.89037175789616
"140",8523,35,2015-09-24 10:34:00,2.30258509299405
"141",8524,35,2015-09-24 10:39:00,1.38629436111989
"142",8525,35,2015-09-24 10:44:00,1.38629436111989
"143",8526,35,2015-09-24 10:48:00,2.89037175789616
"144",8527,35,2015-09-24 12:24:00,1.38629436111989
"145",8530,35,2015-09-24 12:31:00,1.38629436111989
"146",8533,35,2015-09-24 13:13:00,2.30258509299405
"147",8534,35,2015-09-24 13:19:00,2.63905732961526
"148",8535,35,2015-09-24 13:27:00,2.484906649788
"149",8536,35,2015-09-24 13:33:00,2.484906649788
"150",8537,35,2015-09-24 13:40:00,2.484906649788
"151",8538,35,2015-09-24 13:48:00,2.484906649788
"152",8539,35,2015-09-24 15:39:00,2.30258509299405
"153",8540,35,2015-09-24 15:44:00,2.30258509299405
"154",8541,35,2015-09-24 15:49:00,2.30258509299405
"155",8542,35,2015-09-24 15:54:00,2.07944154167984
"156",8543,35,2015-09-24 16:00:00,2.07944154167984
"157",8544,35,2015-09-24 16:06:00,2.07944154167984
"158",8545,35,2015-09-24 16:11:00,2.07944154167984
"159",8546,35,2015-09-24 16:17:00,2.07944154167984
"160",8547,35,2015-09-24 16:22:00,2.07944154167984
"161",8554,35,2015-09-24 19:20:00,1.79175946922805
"162",8555,35,2015-09-24 19:25:00,1.79175946922805
"163",8556,35,2015-09-24 19:30:00,1.79175946922805
"164",8557,35,2015-09-24 19:33:00,2.07944154167984
"165",8558,35,2015-09-24 19:35:00,2.07944154167984
"166",8559,35,2015-09-24 19:40:00,2.07944154167984
"167",8560,35,2015-09-24 21:00:00,2.07944154167984
"168",8561,35,2015-09-24 21:05:00,2.07944154167984
"169",8562,35,2015-09-24 21:10:00,2.07944154167984
"170",8563,35,2015-09-24 21:15:00,2.07944154167984
"171",8564,35,2015-09-24 21:19:00,2.07944154167984
"172",8565,35,2015-09-24 21:22:00,2.07944154167984
"173",8566,35,2015-09-24 22:17:00,2.30258509299405
"174",8567,35,2015-09-24 22:23:00,2.30258509299405
"175",8568,35,2015-09-24 22:29:00,2.30258509299405
"176",8569,35,2015-09-24 23:09:00,2.484906649788
"177",8570,35,2015-09-24 23:15:00,2.484906649788
"178",8571,35,2015-09-24 23:21:00,2.484906649788
"179",8572,35,2015-09-24 23:42:00,1.79175946922805
"180",8573,35,2015-09-24 23:44:00,2.484906649788
"181",8574,35,2015-09-24 23:51:00,2.484906649788
"182",8575,35,2015-09-25 00:15:00,2.30258509299405
"183",8576,35,2015-09-25 00:20:00,2.30258509299405
"184",8577,35,2015-09-25 00:27:00,2.30258509299405
"185",8578,35,2015-09-25 01:39:00,2.07944154167984
"186",8579,35,2015-09-25 01:44:00,2.07944154167984
"187",8580,35,2015-09-25 01:49:00,2.07944154167984
"188",8581,35,2015-09-25 03:43:00,2.99573227355399
"189",8582,35,2015-09-25 03:49:00,2.99573227355399
"190",8583,35,2015-09-25 03:55:00,2.99573227355399
"191",8584,35,2015-09-25 06:31:00,2.99573227355399
"192",8585,35,2015-09-25 06:37:00,2.99573227355399
"193",8586,35,2015-09-25 06:42:00,2.99573227355399
"194",8590,35,2015-09-25 13:00:00,1.38629436111989
"195",8591,35,2015-09-25 13:05:00,1.38629436111989
"196",8593,35,2015-09-25 14:01:00,1.79175946922805
"197",8595,35,2015-09-25 14:08:00,3.17805383034795
"198",8596,35,2015-09-25 18:08:00,3.40119738166216
"199",8597,35,2015-09-25 18:14:00,1.79175946922805
"200",8598,35,2015-09-25 18:18:00,1.38629436111989
"201",8599,35,2015-09-26 00:59:00,3.09104245335832
"202",8600,35,2015-09-26 01:04:00,3.09104245335832
"203",8601,35,2015-09-26 01:10:00,3.09104245335832
"204",8602,35,2015-09-26 01:16:00,3.09104245335832
"205",8603,35,2015-09-26 01:21:00,3.09104245335832
"206",8604,35,2015-09-26 01:27:00,3.09104245335832
"207",8605,35,2015-09-26 01:51:00,3.09104245335832
"208",8606,35,2015-09-26 01:57:00,3.09104245335832
"209",8607,35,2015-09-26 02:04:00,3.09104245335832
"210",8608,35,2015-09-26 03:22:00,3.09104245335832
"211",8609,35,2015-09-26 03:28:00,2.99573227355399
"212",8610,35,2015-09-26 03:34:00,3.09104245335832
"213",8611,35,2015-09-26 03:41:00,3.09104245335832
"214",8612,35,2015-09-26 03:48:00,3.09104245335832
"215",8613,35,2015-09-26 03:55:00,2.99573227355399
"216",8614,35,2015-09-26 06:03:00,2.99573227355399
"217",8615,35,2015-09-26 06:08:00,2.99573227355399
"218",8616,35,2015-09-26 06:15:00,2.99573227355399
"219",8617,35,2015-09-26 06:21:00,2.99573227355399
"220",8618,35,2015-09-26 06:28:00,2.99573227355399
"221",8619,35,2015-09-26 06:35:00,2.99573227355399
"222",8620,35,2015-09-26 06:59:00,2.99573227355399
"223",8621,35,2015-09-26 07:04:00,2.99573227355399
"224",8622,35,2015-09-26 07:10:00,2.99573227355399
"225",8623,35,2015-09-26 07:15:00,2.99573227355399
"226",8624,35,2015-09-26 07:21:00,2.99573227355399
"227",8625,35,2015-09-26 07:27:00,2.99573227355399
"228",8626,35,2015-09-26 08:48:00,3.09104245335832
"229",8628,35,2015-09-26 08:56:00,3.09104245335832
"230",8629,35,2015-09-26 09:40:00,2.99573227355399
"231",8630,35,2015-09-26 09:47:00,2.99573227355399
"232",8631,35,2015-09-26 09:54:00,2.99573227355399
"233",8632,35,2015-09-26 10:00:00,2.99573227355399
"234",8633,35,2015-09-26 10:08:00,2.99573227355399
"235",8634,35,2015-09-26 10:14:00,2.99573227355399
"236",8635,35,2015-09-26 13:22:00,2.07944154167984
"237",8636,35,2015-09-26 13:23:00,2.99573227355399
"238",8637,35,2015-09-26 13:29:00,1.79175946922805
"239",8638,35,2015-09-26 14:39:00,2.99573227355399
"240",8639,35,2015-09-26 14:45:00,2.99573227355399
"241",8640,35,2015-09-26 14:51:00,2.99573227355399
"242",8641,35,2015-09-26 15:17:00,3.09104245335832
"243",8642,35,2015-09-26 15:23:00,3.09104245335832
"244",8643,35,2015-09-26 15:29:00,3.09104245335832
"245",8644,35,2015-09-26 15:55:00,3.09104245335832
"246",8645,35,2015-09-26 16:01:00,3.09104245335832
"247",8646,35,2015-09-26 16:07:00,3.09104245335832
"248",8647,35,2015-09-26 16:12:00,3.09104245335832
"249",8648,35,2015-09-26 16:17:00,3.09104245335832
"250",8649,35,2015-09-26 16:24:00,3.09104245335832
"251",8650,35,2015-09-26 18:16:00,3.09104245335832
"252",8651,35,2015-09-26 18:22:00,3.17805383034795
"253",8652,35,2015-09-26 18:28:00,3.17805383034795
"254",8653,35,2015-09-26 19:09:00,3.09104245335832
"255",8654,35,2015-09-26 19:14:00,3.09104245335832
"256",8655,35,2015-09-26 19:21:00,3.09104245335832
"257",8656,35,2015-09-26 20:01:00,3.09104245335832
"258",8657,35,2015-09-26 20:07:00,3.09104245335832
"259",8658,35,2015-09-26 20:13:00,3.09104245335832
"260",8659,35,2015-09-26 22:05:00,3.09104245335832
"261",8660,35,2015-09-26 22:11:00,3.09104245335832
"262",8661,35,2015-09-26 22:17:00,3.09104245335832
"263",8662,35,2015-09-26 22:23:00,3.09104245335832
"264",8663,35,2015-09-26 22:28:00,3.09104245335832
"265",8664,35,2015-09-26 22:34:00,3.09104245335832
"266",8665,35,2015-09-26 23:11:00,3.09104245335832
"267",8666,35,2015-09-26 23:15:00,3.09104245335832
"268",8667,35,2015-09-26 23:21:00,3.09104245335832
"269",8668,35,2015-09-27 00:14:00,3.09104245335832
"270",8669,35,2015-09-27 00:19:00,2.30258509299405
"271",8670,35,2015-09-27 00:28:00,3.09104245335832
"272",8671,35,2015-09-27 00:32:00,2.484906649788
"273",8672,35,2015-09-27 00:37:00,3.09104245335832
"274",8673,35,2015-09-27 00:42:00,2.484906649788
"275",8674,35,2015-09-27 00:47:00,2.07944154167984
"276",8675,35,2015-09-27 00:52:00,1.79175946922805
"277",8676,35,2015-09-27 00:57:00,3.09104245335832
"278",8677,35,2015-09-27 01:02:00,3.09104245335832
"279",8678,35,2015-09-27 01:08:00,2.99573227355399
"280",8679,35,2015-09-27 01:15:00,3.09104245335832
"281",8680,35,2015-09-27 01:20:00,3.09104245335832
"282",8681,35,2015-09-27 01:26:00,3.09104245335832
"283",8682,35,2015-09-27 01:33:00,3.09104245335832
"284",8683,35,2015-09-27 01:39:00,3.09104245335832
"285",8684,35,2015-09-27 01:44:00,3.09104245335832
"286",8685,35,2015-09-27 01:48:00,3.09104245335832
"287",8686,35,2015-09-27 02:12:00,3.09104245335832
"288",8687,35,2015-09-27 02:17:00,3.09104245335832
"289",8688,35,2015-09-27 02:23:00,3.09104245335832
"290",8689,35,2015-09-27 04:33:00,1.79175946922805
"291",8691,35,2015-09-27 04:40:00,1.79175946922805
"292",8692,35,2015-09-27 04:44:00,2.89037175789616
"293",8693,35,2015-09-27 04:49:00,2.07944154167984
"294",8694,35,2015-09-27 06:46:00,2.89037175789616
"295",8695,35,2015-09-27 06:52:00,2.89037175789616
"296",8696,35,2015-09-27 06:59:00,2.89037175789616
"297",8697,35,2015-09-27 07:06:00,2.89037175789616
"298",8698,35,2015-09-27 07:12:00,2.89037175789616
"299",8699,35,2015-09-27 07:18:00,2.89037175789616
"300",8700,35,2015-09-27 07:36:00,2.89037175789616
"301",8701,35,2015-09-27 07:43:00,2.89037175789616
"302",8702,35,2015-09-27 07:50:00,2.89037175789616
"303",8703,35,2015-09-27 07:57:00,2.89037175789616
"304",8704,35,2015-09-27 08:04:00,2.89037175789616
"305",8705,35,2015-09-27 08:12:00,2.89037175789616
"306",8706,35,2015-09-27 08:35:00,2.89037175789616
"307",8707,35,2015-09-27 08:42:00,2.89037175789616
"308",8708,35,2015-09-27 08:50:00,2.89037175789616
"309",8709,35,2015-09-27 09:18:00,2.89037175789616
"310",8710,35,2015-09-27 09:25:00,2.89037175789616
"311",8711,35,2015-09-27 09:32:00,2.89037175789616
"312",8712,35,2015-09-27 10:45:00,2.89037175789616
"313",8713,35,2015-09-27 10:52:00,2.89037175789616
"314",8714,35,2015-09-27 10:58:00,2.77258872223978
"315",8715,35,2015-09-27 11:37:00,2.484906649788
"316",8716,35,2015-09-27 11:43:00,2.77258872223978
"317",8717,35,2015-09-27 11:49:00,2.77258872223978
"318",8718,35,2015-09-27 11:55:00,2.77258872223978
"319",8719,35,2015-09-27 12:01:00,2.63905732961526
"320",8720,35,2015-09-27 12:07:00,2.77258872223978
"321",8721,35,2015-09-27 13:14:00,2.77258872223978
"322",8722,35,2015-09-27 13:21:00,2.77258872223978
"323",8723,35,2015-09-27 13:28:00,2.77258872223978
"324",8724,35,2015-09-27 13:34:00,2.77258872223978
"325",8725,35,2015-09-27 13:41:00,2.63905732961526
"326",8726,35,2015-09-27 13:48:00,2.63905732961526
"327",8727,35,2015-09-27 14:14:00,2.63905732961526
"328",8728,35,2015-09-27 14:20:00,2.63905732961526
"329",8729,35,2015-09-27 14:27:00,2.63905732961526
"330",8730,35,2015-09-27 14:32:00,2.63905732961526
"331",8731,35,2015-09-27 14:38:00,2.63905732961526
"332",8732,35,2015-09-27 14:44:00,2.63905732961526
"333",8733,35,2015-09-27 15:07:00,2.63905732961526
"334",8734,35,2015-09-27 15:13:00,2.63905732961526
"335",8735,35,2015-09-27 15:19:00,2.63905732961526
"336",8736,35,2015-09-27 16:01:00,2.63905732961526
"337",8737,35,2015-09-27 16:06:00,2.63905732961526
"338",8738,35,2015-09-27 16:13:00,2.63905732961526
"339",8739,35,2015-09-27 16:18:00,2.63905732961526
"340",8740,35,2015-09-27 16:23:00,2.63905732961526
"341",8741,35,2015-09-27 16:29:00,2.63905732961526
"342",8742,35,2015-09-27 16:35:00,2.63905732961526
"343",8743,35,2015-09-27 16:40:00,2.63905732961526
"344",8744,35,2015-09-27 16:47:00,2.484906649788
"345",8745,35,2015-09-27 16:52:00,2.484906649788
"346",8746,35,2015-09-27 16:58:00,2.484906649788
"347",8747,35,2015-09-27 17:05:00,2.484906649788
"348",8748,35,2015-09-27 17:11:00,2.484906649788
"349",8749,35,2015-09-27 17:17:00,2.484906649788
"350",8750,35,2015-09-27 17:21:00,2.484906649788
"351",8751,35,2015-09-27 17:40:00,2.484906649788
"352",8752,35,2015-09-27 17:45:00,2.484906649788
"353",8753,35,2015-09-27 17:49:00,2.484906649788
"354",8760,35,2015-09-27 21:19:00,1.79175946922805
"355",8761,35,2015-09-27 21:24:00,1.79175946922805
"356",8762,35,2015-09-27 21:28:00,1.79175946922805
"357",8763,35,2015-09-27 21:49:00,1.79175946922805
"358",8764,35,2015-09-27 21:54:00,1.79175946922805
"359",8765,35,2015-09-27 22:00:00,1.79175946922805
"360",8766,35,2015-09-27 22:34:00,2.07944154167984
"361",8767,35,2015-09-27 22:38:00,2.07944154167984
"362",8768,35,2015-09-27 22:43:00,2.07944154167984
"363",8769,35,2015-09-27 23:19:00,2.07944154167984
"364",8770,35,2015-09-27 23:24:00,2.07944154167984
"365",8771,35,2015-09-27 23:30:00,2.30258509299405
"366",8772,35,2015-09-27 23:36:00,2.30258509299405
"367",8773,35,2015-09-27 23:41:00,2.30258509299405
"368",8774,35,2015-09-27 23:46:00,2.07944154167984
"369",8775,35,2015-09-27 23:52:00,2.30258509299405
"370",8776,35,2015-09-27 23:56:00,2.30258509299405
"371",8777,35,2015-09-28 00:02:00,2.30258509299405
"372",8778,35,2015-09-28 00:08:00,2.30258509299405
"373",8779,35,2015-09-28 00:14:00,2.30258509299405
"374",8780,35,2015-09-28 00:20:00,2.30258509299405
"375",8781,35,2015-09-28 00:56:00,2.30258509299405
"376",8782,35,2015-09-28 01:01:00,2.30258509299405
